sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.enc.prompt.txt::00630,"Well, I hope",1.0,content_diversity,you didn't laugh at her.,nothing cruel was done.,he didn't leave her.,she's happy now.,you have money to pay me back.,4.167,0.624,-0.012,0.974,-0.303,2.339,0.468,4.995,0.999,-0.229,9.298,0.547
test.enc.prompt.txt::00635,"Gents, we are",1.0,content_diversity,on red alert,at paradise,in heaven,on vacation,finally home,4.333,0.471,-0.008,0.582,-0.232,3.017,0.603,4.969,0.994,-0.236,6.283,0.898
test.enc.prompt.txt::00639,So you're saying,1.0,content_diversity,that everything i my fault,that you don't like sport,that your mom is to blame,that this was the easiest exam ever,that you need to borrow money from me,4.389,0.657,-0.043,0.954,-0.154,2.812,0.562,4.890,0.978,-0.155,9.646,0.742
test.enc.prompt.txt::00648,It's early in,1.0,content_diversity,the morning.,the afternoon.,case you needed more time.,California while it is late in Michigan.,the baseball game being only the first inning.,4.167,0.577,-0.028,0.975,-0.226,2.250,0.450,4.960,0.992,-0.206,10.527,0.619
test.enc.prompt.txt::00654,"Oh Christ, this",0.0,content_diversity,has totally fallen apart.,will never work again.,is completely busted.,has been totally ruined.,is only fit for the bin.,2.333,0.527,-0.015,0.971,-0.310,1.648,0.330,4.757,0.951,-0.375,9.755,0.610
test.enc.prompt.txt::00655,What are you,0.0,content_diversity,doing here without a permission,doing at my place,"doing here, this is private property",doing tresspassing,thinking? You can't come on a private property without invitation,2.111,0.314,-0.045,0.939,-0.027,1.933,0.322,4.686,0.937,-0.325,9.682,0.645
test.enc.prompt.txt::00656,Do you want,1.0,content_diversity,it raw or medium raw,my old TV,me to take a look at your exam,me to go with you,to help me move out tomorrow,4.611,0.458,-0.023,0.954,0.024,2.629,0.526,4.943,0.989,-0.156,10.041,0.837
test.enc.prompt.txt::00661,Girls dig Bateman.,1.0,content_diversity,He looks like hollywood,he is dreamy,what is his deal?,It's not even fair.,I am super jealous.,3.944,0.369,-0.006,0.789,-0.217,2.685,0.537,4.989,0.998,-0.232,9.907,0.762
test.enc.prompt.txt::00662,"Listen, what about",0.0,content_diversity,we get something to eat tomorrow,we go to the restaurant,romantic evening in the restaurant,we have a fancy dinner tomorrow,I take you out for a dinner,2.056,0.724,-0.037,0.936,-0.328,2.181,0.436,4.994,0.999,-0.484,11.735,0.838
test.enc.prompt.txt::00665,By the way,1.0,content_diversity,did you make the payment?,did you water the plants?,did you call your mom?,did you make plans?,how is the family doing?,4.611,0.458,-0.114,0.869,-0.474,1.649,0.330,4.949,0.990,-0.265,8.594,0.614
test.enc.prompt.txt::00290,Suppose there's an,0.0,content_diversity,airline that costs less.,flight that isn't as expensive.,"air travel fare, but doesn't cost as much.",way to fly there that is low cost.,flight going there and it's not a lot of money,1.944,0.550,-0.022,0.966,-0.372,1.743,0.349,4.593,0.919,-0.776,15.522,0.597
test.enc.prompt.txt::00291,It is a,0.0,content_diversity,joke of a democracy that we currently have.,horrible system of government that we rely on.,pity we can't trust our elected officials.,truth widely acknowledged that American politicians are corrupt.,regrettable situation in which we find ourselves this election cycle.,2.857,0.515,-0.028,0.965,-0.223,2.909,0.582,4.972,0.994,-0.346,11.564,0.413
test.enc.prompt.txt::00333,It may have,1.0,content_diversity,"looked like the same person, but it's not.",gotten caught in the drain.,"looked the same, but it's not.",been hotter yesterday.,run off to hide in the woods.,4.333,0.577,-0.049,0.909,-0.217,1.910,0.382,3.977,0.795,-0.202,11.089,0.528
test.enc.prompt.txt::00316,See. Get your,0.0,content_diversity,head out of the clouds.,stuff together.,information from a better source.,head checked.,reality in order.,3.167,0.527,-0.006,0.988,-0.257,1.554,0.311,4.794,0.959,-0.305,10.653,0.666
test.enc.prompt.txt::00297,Might as well,1.0,content_diversity,"eat lunch now, it's going to be a long car ride.","call a divorce attorney, I'm ready to admit defeat.","put my feet up, no one is showing up in this bad weather.",take out a loan as I can't even afford the down payment.,go to the store after work since I won't have time tomorrow.,4.833,0.333,-0.015,0.979,-0.169,2.056,0.411,4.996,0.999,-0.178,27.042,0.660
test.enc.prompt.txt::00251,"Right, Agent Cole",0.0,content_diversity,is always late.,never shows up to these on schedule.,isn't exactly punctual.,has a problem with timeliness.,is habitually later than expected.,2.111,0.614,-0.005,0.991,-0.239,2.676,0.535,4.835,0.967,-0.467,12.447,0.691
test.enc.prompt.txt::00335,And Elbourne and,1.0,content_diversity,Jones and Schrader went down to the sea together.,his wife were never seen again.,Molly knew that things would never be the same between them.,the dog looked each other in the eye knowingly.,the fisherman both shook their heads in disbelief.,4.778,0.416,-0.023,0.972,-0.268,2.300,0.460,4.989,0.998,-0.087,12.005,0.462
test.enc.prompt.txt::00312,Fuck. Turn it,1.0,content_diversity,before it burns to the frying pan,before the children come home and see what your watching,before you hit the animal lying in the middle of the road,before the arrow hits your head,before it over heats an cause an explosion,4.750,0.354,-0.056,0.934,-0.193,2.203,0.441,4.249,0.850,-0.314,10.805,0.568
test.enc.prompt.txt::00306,"Some party, huh?",1.0,content_diversity,The girls are quite hot!,The drinks are free!,There are so many people here!,I love the music!,I love the decorations!,4.611,0.458,-0.055,0.910,-0.364,1.947,0.389,4.945,0.989,-0.309,9.447,0.590
test.enc.prompt.txt::00265,Something the matter,0.0,content_diversity,but it makes no difference.,and no one will help.,and it's pointless.,and I don't give a darn.,and people ignore it.,2.875,0.545,-0.036,0.957,-0.419,2.080,0.416,4.960,0.992,-0.648,8.450,0.528
test.enc.prompt.txt::00339,I know... But,0.0,content_diversity,this work place is truely not for me!,my work is not the best these days for what it's worth.,life would be better if I could change jobs now.,i'm going to look for a different job soon.,I don't wanna work there anymore. I have too many hours and so little pay.,2.389,0.906,-0.019,0.970,-0.239,2.870,0.478,4.772,0.954,-0.440,16.709,0.492
test.enc.prompt.txt::00254,I've got what,0.0,content_diversity,I can only hope fixes this.,they told me should work.,looks like fits in the spot.,normally helps in this situation.,has often been used for these problems.,3.000,0.707,-0.007,0.986,-0.210,1.982,0.396,4.916,0.983,-0.423,10.655,0.561
test.enc.prompt.txt::00288,It's possible I,0.0,content_diversity,misunderstood your question.,didn't follow your train of thought.,didn't understand what we were discussing.,couldn't understand what you were saying.,failed to keep up with the conversation and got lost.,2.556,0.437,-0.022,0.960,-0.289,2.628,0.526,4.981,0.996,-0.656,11.027,0.501
test.enc.prompt.txt::00273,Look...we're all tired.,1.0,content_diversity,let's rest.,let's find a place to relax.,let's go on a vacation.,let's keep working and finish this.,let's stop working now.,3.278,0.671,-0.056,0.948,-0.531,1.416,0.283,4.528,0.906,-0.334,9.608,0.370
test.enc.prompt.txt::00278,They think I'm,1.0,content_diversity,a waste of time.,going to be the next big thing.,"introverted, but I'm really just quiet.",not worthy of a promotion.,most likely to get the job done.,4.312,0.609,-0.015,0.972,-0.237,2.328,0.466,4.994,0.999,-0.223,10.803,0.491
test.enc.prompt.txt::00255,I think about,0.0,content_diversity,how I've never really enjoyed them.,what I would have looked for if I had more time.,how none of them seem to meet expectations.,the dissappointment I feel when shopping for them.,everyone I've ever found has a problem with it.,4.056,0.864,-0.020,0.967,-0.229,2.347,0.469,4.960,0.992,-0.333,11.250,0.469
test.enc.prompt.txt::00329,Lillian was here.,1.0,content_diversity,I found her condescending attitude quite annoying.,Her pleasing scent filled the room.,I could never mistake her playful laugh which sent my heart aflutter.,Her arrival meant I could finally clock out and go home.,I might have gotten caught cheating on her unless I got out quickly.,4.500,0.667,-0.029,0.959,-0.199,2.611,0.522,4.998,1.000,-0.224,17.237,0.479
test.enc.prompt.txt::00295,Chub says you're,0.0,content_diversity,in a people class by yourself in the brain catagory,"a soul that he has not experienced before, you must be a very old soul and extremely intelligent","going to do very well in school, work hard for those good grades",going to get scholarships to go to college because of your mental capacity,"not only a very beautiful human being, but very bright as well",3.167,0.707,-0.027,0.948,-0.065,3.064,0.613,4.998,1.000,-0.262,18.752,0.586
test.enc.prompt.txt::00249,"I'm sorry, let",0.0,content_diversity,me help somehow.,me fix this.,me compensate you.,it bring us closer as I seek to remedy this.,yourself be rewarded by me,3.000,0.707,-0.039,0.967,-0.366,1.651,0.330,4.998,1.000,-0.562,10.667,0.762
test.enc.prompt.txt::00325,"Wade, I got",1.0,content_diversity,the test results.,"to tell ya, I like your style.",five more if you want one.,to the last level in the game.,a big problem with your attitude.,4.611,0.657,-0.013,0.972,-0.180,2.088,0.418,4.979,0.996,-0.100,12.831,0.611
test.enc.prompt.txt::00325,"Wade, I got",0.0,content_diversity,a few left from the last batch,some more in the back.,to order several more to keep up with the demand.,caught up with production and can send you a few.,"nothing left man, sorry.",3.778,0.533,-0.028,0.937,-0.199,2.409,0.482,4.935,0.987,-0.216,12.527,0.626
test.enc.prompt.txt::00286,Skipper - could,0.0,content_diversity,we head in that direction?,we head there?,we sail there?,we sail in that direction?,you take us in that direction?,1.889,0.737,-0.142,0.787,-0.575,1.695,0.339,4.739,0.948,-0.693,7.443,0.532
test.enc.prompt.txt::00276,My dad's got,1.0,content_diversity,a lot of land,prostate cancer,a high school reunion coming up.,a couple of short haired terriors.,a problem with alcohol.,4.889,0.208,-0.029,0.964,-0.194,1.992,0.398,4.918,0.984,-0.054,11.268,0.663
test.enc.prompt.txt::00276,My dad's got,0.0,content_diversity,a dog kennel,penchant for training dogs.,a phobia of cats.,a farm with all kinds of animals.,really smart labradors.,3.500,0.624,-0.018,0.971,-0.305,1.947,0.389,4.956,0.991,-0.281,9.523,0.560
test.enc.prompt.txt::00310,You can't have,0.0,content_diversity,things just how you want them always.,me constantly do it your way.,what you want how you want it every time.,me giving in to your wishes every day.,the world cater to your every whim forever.,2.722,0.916,-0.047,0.905,-0.293,2.169,0.434,4.940,0.988,-0.690,12.796,0.556
test.enc.prompt.txt::00253,"September 4th, 1993.",0.0,content_diversity,The day we left Earth.,"Finally, the day we take off.",Launch day is finally upon us.,"After all the preparations, we are ready for launch.","All of our training has lead us to this moment, the true beginning of our mission.",2.389,0.774,-0.032,0.946,-0.291,2.012,0.402,4.993,0.999,-0.406,13.100,0.452
test.enc.prompt.txt::01793,Without hope there's,0.0,content_diversity,no joy.,no pleasure.,no cheerfulness.,no aspirations.,no merriment.,2.143,0.515,-0.100,0.320,-0.603,1.000,0.200,4.963,0.993,-0.749,5.732,0.573
test.enc.prompt.txt::01795,I'm not married.,1.0,content_diversity,I used to be but it didn't work out.,"But even if I were, it wouldn't stop me.",Why do you ask?,I sure would like to be though.,Are you asking?,3.929,0.623,-0.023,0.955,-0.056,2.377,0.475,4.799,0.960,-0.312,8.933,0.496
test.enc.prompt.txt::01797,"Jani, there's something",1.0,content_diversity,I need to tell you.,on your nose.,about you that I love.,going on in town today that I think you will like.,else that you do not know.,4.500,0.577,-0.044,0.939,-0.202,2.164,0.433,4.995,0.999,-0.227,11.128,0.695
test.enc.prompt.txt::01811,That Greek guy,0.0,content_diversity,is really good looking.,looks very attractive.,has very nice looks.,is stunningly handsome.,happens to have looks that are appealing.,1.750,0.382,-0.025,0.962,-0.533,2.430,0.486,4.686,0.937,-0.839,8.330,0.490
test.enc.prompt.txt::01816,Why four? And,0.0,content_diversity,"while we're at it, why do they all have to be blue?","while we're at it, have they all to be yellow?","while we're at it, why do they all have to be green?","while we're at it,  do they all have to be purple?","while we're at it, why do they all have to be brown?",2.389,0.994,-0.585,0.432,-0.807,1.262,0.252,4.960,0.992,-0.417,5.870,0.294
test.enc.prompt.txt::01823,We'd know. There,1.0,content_diversity,would be tell tale signs.,would be news about it on the TV by now.,is know way this thing would move without making a racket otherwise.,"isn't anything we can do, I am so sorry.",would be a large ring around the outer edge telling us so.,4.375,0.415,-0.034,0.957,-0.118,2.318,0.464,4.934,0.987,-0.179,18.731,0.568
test.enc.prompt.txt::01824,Thanks for the,0.0,content_diversity,"recognition, folks. It means so much to me.",good cheer and support. It's everything to me.,"strong show of appreciation, gang. It warms my heart.","standing ovation, ladies and gentlemen. This day has been one-pf-a-kind.","acknowledgement, everyone. It's been so long.",2.750,0.559,-0.021,0.960,-0.246,1.773,0.177,4.904,0.981,-0.456,27.542,0.641
test.enc.prompt.txt::01829,Well... now what?,0.0,content_diversity,anyone know what this means,do you know? i dont understand,what does it mean?,whats the meaning?,i wish i understood,2.056,0.643,-0.011,0.973,-0.101,1.821,0.303,4.723,0.945,-0.479,8.762,0.730
test.enc.prompt.txt::01833,You won't consider,0.0,content_diversity,my feelings even for a moment? I guess not.,"things from my perspective at all? Nope, you never do.","the way this might affect me though, huh? Will you?",the impact of this on other people? Even other people -- like me?,"what I could be going through, will you? You wouldn't dream of it.",2.778,1.003,-0.010,0.975,-0.099,2.242,0.224,4.994,0.999,-0.397,17.390,0.470
test.enc.prompt.txt::01834,"Bomb, this is",0.0,content_diversity,"not cheap, you know! What are you thinking?",a lot of money. How can you handle this?,"priced at more than you make in a year, have you noticed?","a little -- or a lot -- too rich for your blood, don't you think?",not exactly in your price range. How will you pay for this?,2.357,0.742,-0.052,0.935,-0.153,1.805,0.226,4.829,0.966,-0.532,15.753,0.450
test.enc.prompt.txt::01838,That's all beside,0.0,content_diversity,where they have the water cooler.,the outside water cooler.,cooler of water.,the cooler of water outside.,water cooler they have outside.,1.667,0.527,-0.173,0.799,-0.453,1.669,0.334,4.485,0.897,-0.782,9.895,0.550
test.enc.prompt.txt::01844,"Hey, Doolittle, think",0.0,content_diversity,"you're a little off your rocker. A lot off, I should say.",you may not be thinking completely rationally right now.,reality is starting to slip for you. Just a bit. Or a lot.,you need to get a grip because you're losing it now.,"crazy could be an understatement in your case, you know?",2.333,0.624,-0.030,0.956,-0.121,2.912,0.364,4.993,0.999,-0.444,17.711,0.521
test.enc.prompt.txt::01859,What's with you?,0.0,content_diversity,Are you upset with me?,Are you angry?,Have you got a problem?,It seems like you are mad.,Are you unhappy?,2.375,0.331,-0.089,0.922,-0.495,1.942,0.388,4.564,0.913,-0.619,8.590,0.661
test.enc.prompt.txt::01868,So now you,0.0,content_diversity,understand how to do it.,comprehend the way to accomplish that.,realize what you need to do.,see the means by which it is accomplished.,the steps that must be taken for that to be completed.,2.417,0.344,-0.039,0.938,-0.332,2.122,0.424,4.947,0.989,-0.697,8.746,0.486
test.enc.prompt.txt::01874,It turned up,1.0,content_diversity,louder,on repeat because i like it,missing,in the yard,near the water,4.000,0.527,-0.007,0.986,-0.191,2.909,0.582,4.998,1.000,-0.200,5.236,0.748
test.enc.prompt.txt::01884,I say hang,1.0,content_diversity,"out with me today, you wont be sad",back and wait,on a minute,the rope outside,the flag,4.643,0.440,-0.008,0.989,0.014,1.737,0.347,4.998,1.000,-0.205,7.050,0.783
test.enc.prompt.txt::01888,Don't believe everything,0.0,content_diversity,concerning history. It's written by people with agendas.,you hear about history. It's written by people with ulterior motives.,about history. It's written for profit.,about history. It's written with ill intent.,you ever heard about history. It's written by people's motives.,1.833,0.527,-0.310,0.666,-0.613,2.517,0.252,4.924,0.985,-0.519,19.179,0.479
test.enc.prompt.txt::01350,"Look, snap out",1.0,content_diversity,of it,of the shirt,of the mood,of the trance,of your addiction,3.500,0.667,-0.123,0.470,-0.332,1.649,0.330,4.995,0.999,-0.297,3.966,0.992
test.enc.prompt.txt::01361,I just wanted,0.0,content_diversity,to say how much you mean to me,to tell you that i love you,to say that i need you,you to know that you mean so much to me,you to know that i love you,2.000,0.707,-0.182,0.767,-0.525,1.444,0.289,4.485,0.897,-0.561,7.889,0.657
test.enc.prompt.txt::01362,I was sorry,1.0,content_diversity,so I bought you cookies,that i did it,i commited crime,i couldn't be there for you,but it wasn't my fault,4.111,0.515,-0.023,0.965,-0.169,2.700,0.540,4.824,0.965,-0.132,5.572,0.796
test.enc.prompt.txt::01363,It's a real,1.0,content_diversity,thing it is not a scam,struggle to do it so fast,"life, not imagination",hustle to do it,", I'm telling you",4.056,0.831,-0.042,0.919,-0.095,2.153,0.431,4.998,1.000,-0.295,9.570,0.870
test.enc.prompt.txt::01373,Wow. Should you,1.0,content_diversity,be this handsome?,take another try?,help them?,behave like this,be so good at football,4.556,0.550,-0.012,0.975,-0.102,1.917,0.383,4.988,0.998,-0.221,9.041,0.753
test.enc.prompt.txt::01393,No fuckin' hot,1.0,content_diversity,girl are allowed here,food makes me throw up,sun makes me exhausted,people are here,nights,4.500,0.471,-0.026,0.936,-0.136,1.535,0.307,4.980,0.996,-0.138,8.673,0.867
test.enc.prompt.txt::01395,Destroy all that,1.0,content_diversity,evidence and get out of here,peasants,books and get new ones,files and clean my desk,enemies,4.278,0.671,-0.019,0.951,-0.141,1.530,0.306,4.999,1.000,-0.165,9.969,0.906
test.enc.prompt.txt::01396,Know what we,1.0,content_diversity,are dealing with,are selling to our customers,need to do to stay profitable,can do to help him,should do in order to sell the business,3.722,0.583,-0.046,0.939,-0.345,2.324,0.465,4.413,0.883,-0.276,9.042,0.904
test.enc.prompt.txt::01398,"Is that right,",0.0,content_diversity,they won the big cash prize?,the group won and quit their jobs?,the team won millions in the lotto?,they got the grand prize and retired to Puerto Rico?,the couple are very rich now from winning the lotto sweepstakes?,2.556,0.762,-0.056,0.951,-0.398,2.089,0.418,4.776,0.955,-0.341,9.784,0.391
test.enc.prompt.txt::01404,"Now, you will",1.0,content_diversity,do as I say or I'll fire you,have to take one for the team,pick my mom,take care of my dog,have to say what bothers you,4.500,0.943,-0.024,0.950,-0.066,1.926,0.385,4.926,0.985,-0.169,9.395,0.723
test.enc.prompt.txt::01424,Did you see,1.0,content_diversity,that aeroplane,him eat whole basket,her cheating on him,him how he broke up with her,cheating on a test,4.083,0.344,-0.033,0.940,-0.046,1.708,0.342,4.969,0.994,-0.162,7.344,0.918
test.enc.prompt.txt::01438,He went back,1.0,content_diversity,to the hospital.,home yesterday. You just missed him.,to work already. Try calling him there.,to his wife.,to his girlfriend's house.,4.222,0.711,-0.048,0.945,-0.349,2.407,0.344,4.937,0.987,-0.205,11.506,0.606
test.enc.prompt.txt::01753,I don't know,1.0,content_diversity,how he can eat so much,why would he dump her,how can he study so hard,why would he cross him,how can he not like reading,4.667,0.527,-0.097,0.864,-0.429,2.108,0.422,4.978,0.996,-0.271,7.977,0.798
test.enc.prompt.txt::01743,What are you?,1.0,content_diversity,are you a human,you don't seem like a dog,are you doing something to me,you seem like an ugly bug,you look exhausted,4.111,0.657,-0.066,0.916,-0.155,2.711,0.542,4.931,0.986,-0.264,8.209,0.684
test.enc.prompt.txt::01697,You've seen only,1.0,content_diversity,the tip of the iceberg.,the best side of him.,what I wanted you to see.,the best doctors.,one way of doing things.,4.667,0.624,-0.044,0.939,-0.302,2.191,0.438,4.985,0.997,-0.202,8.784,0.549
test.enc.prompt.txt::01739,Then there it,1.0,content_diversity,"went, down the street.","flew, into the sky.",is!,"slept, in the cave.",dies peacefully.,4.278,0.916,-0.015,0.773,-0.297,2.052,0.410,4.999,1.000,-0.173,10.469,0.654
test.enc.prompt.txt::01729,Shit. We don't,0.0,content_diversity,care about your opinion.,want to know what you think.,need any more ideas.,have any need of your expertise.,value your way of thinking.,2.444,0.643,-0.024,0.960,-0.151,1.760,0.352,4.684,0.937,-0.401,9.752,0.574
test.enc.prompt.txt::01754,I lost my,0.0,content_diversity,sneakers in the wood,shoes in a forest,trainers in a wood,shoes while I was in a forest,sneakers when I was in a wood,1.667,0.527,-0.164,0.757,-0.487,1.478,0.296,3.937,0.787,-0.610,6.377,0.638
test.enc.prompt.txt::01685,When'd you start,1.0,content_diversity,swimming professionally,going out with her,making mistakes,baking,fighting for your country,4.722,0.342,0.000,0.800,-0.173,1.986,0.397,4.998,1.000,-0.094,7.395,0.924
test.enc.prompt.txt::01777,So what do,1.0,content_diversity,I need to do,you want me to read,they want to watch,they plan on doing next friday,they think they will do to us,4.278,0.629,-0.048,0.938,-0.175,1.708,0.342,4.541,0.908,-0.283,8.722,0.872
test.enc.prompt.txt::01777,So what do,0.0,content_diversity,you want me to do,I need to get done with,I need to finish,you want me to get done,you want me to get finished with,1.875,0.415,-0.236,0.641,-0.441,2.063,0.413,4.947,0.989,-0.590,7.692,0.641
test.enc.prompt.txt::01690,He *sniffs* that,1.0,content_diversity,powder of the table,stinky socks,cocaine,sugar into his nostril,thing,3.500,0.707,0.000,0.800,-0.044,1.699,0.340,4.999,1.000,-0.264,6.651,0.831
test.enc.prompt.txt::01773,Exactly. 'Cept this,1.0,content_diversity,can't be forgiven just like that,and move on,reality,and you will learn next time,and start doing it now,3.944,0.643,-0.014,0.981,-0.111,2.167,0.433,4.383,0.877,-0.314,8.628,0.959
test.enc.prompt.txt::01773,Exactly. 'Cept this,0.0,content_diversity,can't go unnoticed,can't go without consequences,can't be like that,isn't forgiveable,shouldn't be accepted,2.556,0.724,-0.036,0.732,-0.236,2.062,0.412,4.960,0.992,-0.459,7.169,0.551
test.enc.prompt.txt::01723,I thought you,0.0,content_diversity,had heard it before.,"everyone knew, its common knowledge.",told me about it.,remembered what I said.,were aware of that.,3.214,0.647,-0.005,0.990,-0.264,2.093,0.419,4.963,0.993,-0.649,10.243,0.683
test.enc.prompt.txt::01737,That's right. And,0.0,content_diversity,that is why you're a leader,that is why people follow you,that is why you have so many followers,that is why you're popular,this explains why you're natural leader,2.111,0.515,-0.192,0.798,-0.595,1.892,0.378,4.925,0.985,-0.654,7.551,0.629
test.enc.prompt.txt::01681,Sorry...sorry... Why do,0.0,content_diversity,women always ask men if they look fat in an outfit?,"females expect men to lie to them about looking fat, but nothing else?",the news and media portray big women as something negative?,people want other people to be honest only when it serves them right?,you put me on the spot like this whenever you put on a new dress?,2.889,0.567,-0.009,0.964,-0.165,1.934,0.387,4.964,0.993,-0.261,24.946,0.608
test.enc.prompt.txt::01714,Don't get too,0.0,content_diversity,narcissistic when you’re talking to a potential employer.,used to having good jobs without having to put in an effort.,hopeful that you’ll land your dream job because not everyone does.,caught up in trying to say the perfect thing to an interviewer.,arrogant when you’re talking to the head of a job you want.,3.056,0.926,-0.050,0.923,-0.313,1.867,0.373,4.658,0.932,-0.384,15.164,0.446
test.enc.prompt.txt::01683,It seemed like,0.0,content_diversity,you weren't willing to forgive,you weren't ready to accept my apology,you didn't want to forgive,you weren't ready to put things behind,you didn't want to smooth things out,2.111,0.614,-0.158,0.779,-0.587,1.346,0.269,4.877,0.975,-0.675,8.297,0.437
test.enc.prompt.txt::00680,Patrick? Is that,0.0,content_diversity,actually what you're going out in?,really the pants you want to wear? Really?,your idea of getting dressed up? Honestly.,your nicest shirt? I said wear your nicest shirt.,warm enough for this weather? I don't think so.,2.444,0.797,-0.006,0.974,-0.086,2.347,0.261,4.873,0.975,-0.278,17.654,0.552
test.enc.prompt.txt::00684,Did you know,0.0,content_diversity,"he killed his brother? Yes, he got away with it as well.",he murdered his aunt? Managed to get away it in fact.,he stabbed his mother to death? Found not guilty though.,"he killed his sister? Yes, he got away with it as well.","he shot his twin sister to death and still got away with it,",2.333,0.707,-0.143,0.795,-0.528,2.152,0.239,4.594,0.919,-0.602,23.071,0.549
test.enc.prompt.txt::00686,"Ah, I see...Yes.",0.0,content_diversity,I'm sorry for all the missteps. We were ignorant.,My apologies for everything that's happened. We just weren't aware.,We had no idea. I hope you'll accept our apology for what's occurred.,I deeply regret what took place. No one had informed us.,"I'm so sincerely sorry for all of it. If we'd known, it would never have happened.",2.278,0.478,-0.031,0.948,-0.446,2.575,0.257,4.563,0.913,-0.591,26.448,0.615
test.enc.prompt.txt::00689,"Pardon me, but",1.0,content_diversity,I saw you seem lost.,I need to get through here.,I couldn't help overhearing what you were saying.,I dropped something over here.,can you grab something for me?,4.500,0.471,-0.038,0.953,-0.185,2.090,0.418,4.941,0.988,-0.246,8.807,0.518
test.enc.prompt.txt::00689,"Pardon me, but",0.0,content_diversity,can you get that for me?,can you go get me that thing on the shelf?,are you able to hand that to me?,can you get the thing on the counter for me?,can you reach over and get that for me?,2.167,0.707,-0.148,0.809,-0.559,1.938,0.388,4.479,0.896,-0.562,8.455,0.497
test.enc.prompt.txt::00711,"C'mon, I wouldn't",0.0,content_diversity,"purchase a dog from any other shop,","buy my fish from any other shop,",get my hamsters from any other place.,buy my guinea pigs anywhere else.,"purchase a mouse from any other shop,",2.556,1.141,-0.186,0.774,-0.509,1.205,0.241,4.989,0.998,-0.503,11.547,0.525
test.enc.prompt.txt::00713,Go where? You,0.0,content_diversity,will just have to be patient. You'll know soon enough.,mustn't be in such a rush. All in due time.,will not ruin the surprise. You have to bide your time.,will know everything before very long. Try to relax.,"need to calm down and pace yourself. Soon, I promise.",2.778,0.916,-0.028,0.956,-0.245,2.600,0.260,4.811,0.962,-0.596,17.438,0.498
test.enc.prompt.txt::00714,It's the only,0.0,content_diversity,thing I inherited from her.,she decided to leave for me as an inheritance.,thing she left for me as an inheritance.,inheritance I received from her.,she left as my inheritance.,1.889,0.458,-0.102,0.794,-0.515,2.170,0.434,4.654,0.931,-0.791,9.473,0.557
test.enc.prompt.txt::00715,I know how,0.0,content_diversity,"to do it, no need to get involved.","this gets done, don't worry about me.","to handle something like this, thank you very much.","it all works, which probably surprises you.","to go about it, so just mind your own business.",3.000,0.667,-0.017,0.971,-0.192,2.532,0.506,4.791,0.958,-0.479,11.508,0.411
test.enc.prompt.txt::00741,That's great. I,1.0,content_diversity,am so glad you received such exciting news!,am just so relieved to find out you're okay!,had a feeling it would all work out for you.,never know what to expect when they get involved.,"was imagining the most awful things, so I'm glad it's all good.",3.688,0.428,-0.019,0.967,-0.148,2.171,0.434,4.415,0.883,-0.404,12.070,0.416
test.enc.prompt.txt::00746,I don't know,1.0,content_diversity,which way we're supposed to go and I'm low on gas.,"which one I'd rather have, the prawns of the lamb.","where she gets off talking to me like that, the little snot.","I left those goddamn keys, I'm losing my mind.",what I was thinking when I took this apartment.,4.889,0.208,-0.013,0.973,-0.096,2.934,0.587,4.970,0.994,-0.085,19.708,0.597
test.enc.prompt.txt::00747,"Hardly anybody does,",0.0,content_diversity,there is only me and my sister who know about it and a couple of others.,only my uncle and me know about it and four other people I know of.,my cousin and me are the ony ones who know about it except the founders.,only my son and I and a couple of others know it is even here.,there is only me and my father who know about it and a few select others.,2.417,0.786,-0.213,0.730,-0.502,1.934,0.387,4.238,0.848,-0.654,8.076,0.288
test.enc.prompt.txt::00753,A beautiful geek?,1.0,content_diversity,Is there such a thing?,I am going to take that as a compliment.,Did you mean to write a beautiful Greek?,Then I am in love with her already.,Is that the name of a movie?,4.643,0.350,-0.033,0.951,-0.168,2.518,0.504,4.999,1.000,-0.218,8.012,0.471
test.enc.prompt.txt::00769,Brrrr! She must,1.0,content_diversity,be freezing in that short skirt.,crazy diving in that lake.,have anti freeze in her blood staying out that long.,"get cold sometimes camping in this weather,",really like to get a tan sunbathing in this weather.,4.438,0.464,-0.049,0.946,-0.222,2.653,0.531,4.922,0.984,-0.146,15.748,0.583
