sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_AveragedCosineSimilarity,metric_AveragedDistinctNgrams,metric_BertScore,metric_SD,metric_SD_norm,metric_SSD,metric_SSD_norm,metric_SentBert,metric_TSD,metric_TSD_norm
test.enc.prompt.txt::00377,The word is,0.0,content_diversity,is not to be debated,is not for you to ask questions about,final,the only thing you need to worry about,the one and only truth,-0.030,0.932,-0.071,2.883,0.577,4.529,0.906,-0.387,15.855,0.587
test.enc.prompt.txt::00378,"Elaine, I'm going",1.0,content_diversity,so be ready when I get back,so you wont see me ever again,I will be back later,and don't come looking for me when you feel bad,to the supermarket,-0.020,0.956,-0.074,2.492,0.498,4.969,0.994,-0.180,25.560,0.752
test.enc.prompt.txt::00378,"Elaine, I'm going",0.0,content_diversity,make sure you are fully dressed when I get back,make sure you have your shoes on when I return,make sure you have showered by the time I get back,I will see you when I return,I expect that you will be ready to go when I get back,-0.162,0.804,-0.457,2.575,0.515,4.851,0.970,-0.539,32.327,0.634
test.enc.prompt.txt::00379,"Ted, we've only",1.0,content_diversity,just begun.,had four children.,got each other.,enough food left for this week.,a few more days until vacation!,0.000,1.000,-0.205,2.847,0.569,4.979,0.996,-0.271,12.860,0.514
test.enc.prompt.txt::00379,"Ted, we've only",0.0,content_diversity,got to get through this week before our honeymoon!,a bit more work to do until our trip!,a couple days until we leave for Hawaii!,got to stomach a few hours at work before we go to Europe!,a few days left in our schedules prior to our road trip!,-0.054,0.921,-0.354,2.473,0.495,4.852,0.970,-0.518,32.600,0.582
test.enc.prompt.txt::00380,"So you see,",1.0,content_diversity,I am beautiful.,he got away!,I am right!,there is a lot to live for.,"it is a plane, not a bird.",-0.034,0.934,-0.286,1.836,0.367,4.763,0.953,-0.239,12.903,0.445
test.enc.prompt.txt::00380,"So you see,",0.0,content_diversity,I’m attractive.,my looks are the finest!,there’s nobody better looking than me.,I am cute.,my parents blessed me with great genetics!,-0.006,0.983,-0.338,2.360,0.472,4.440,0.888,-0.510,20.969,0.655
test.enc.prompt.txt::00381,For the best,1.0,content_diversity,my new job is just too stressfull,this exercises are just killing,i have to deprive myself sleep just to make good grades,here i go again to take that painful injection i hate hospitals,i have no choice but to swallow the bitter pills,-0.028,0.955,-0.150,3.245,0.649,4.995,0.999,-0.363,33.462,0.744
test.enc.prompt.txt::00381,For the best,0.0,content_diversity,i have no choice but to go to gym,i have some new clothes i must try on not with all this fat,well the physiotherapist recommended it,at least the ladies will love my new abs,my self esteem would finally be restored after this,-0.015,0.960,-0.115,2.333,0.467,4.997,0.999,-0.242,30.812,0.670
test.enc.prompt.txt::00382,I guess this,1.0,content_diversity,hat is too big for your head,movie has a runtime of 3 hours,isn't the first time someone has told you that,is where I get off,time his luck ran out.,-0.009,0.982,-0.011,2.246,0.449,4.883,0.977,-0.130,23.469,0.652
test.enc.prompt.txt::00382,I guess this,0.0,content_diversity,ain't your first rodeo,is something you're used to hearing,is a commonplace event for you,doesn't come as a surprise to you.,is probably the 700th time you've heard this today.,-0.018,0.969,-0.100,2.422,0.484,4.394,0.879,-0.318,25.251,0.601
test.enc.prompt.txt::00383,Elaine! Ted's a,1.0,content_diversity,freaking idiot!!,"homosexual, he likes guys.",really smart guy.,mechanic at the local car repair shop.,maniac.,0.000,1.000,-0.283,2.198,0.366,4.744,0.949,-0.107,13.432,0.560
test.enc.prompt.txt::00383,Elaine! Ted's a,0.0,content_diversity,"sharp guy, he teaches engineering","intellectual, he is very bright","genious, he has a really high IQ.",valedictorian of his class,intelligent man,-0.011,0.983,-0.135,2.133,0.427,4.579,0.916,-0.394,16.240,0.601
test.enc.prompt.txt::00384,"Meet me onboard,",1.0,content_diversity,and we'll get drunk on free tequila.,so that we don't get lost on shore.,by the fiesta deck where our cabins are.,and we'll hook up after our spouses go to sleep.,or I'll turn into a pirate and make you walk the plank.,-0.021,0.964,-0.233,2.460,0.492,4.998,1.000,-0.186,38.591,0.665
test.enc.prompt.txt::00384,"Meet me onboard,",0.0,content_diversity,you scurvy soul.,or I'll keelhaul you.,or Bluebeard's ghost will stalk the boards.,and we'll split up the booty.,"ye wretched cur, before I send ye to the briny deep.",-0.017,0.968,-0.188,2.342,0.468,4.801,0.960,-0.253,30.666,0.713
test.enc.prompt.txt::00385,Can't we change,1.0,content_diversity,the radio station? I hate this song!,the subject?,the time we are going to eat? I don't want to be late.,the day of the party?,our attitudes towards fast food?,-0.033,0.963,-0.196,2.725,0.389,4.963,0.993,-0.129,26.855,0.655
test.enc.prompt.txt::00385,Can't we change,0.0,content_diversity,where we are going to eat?,where we are going for lunch for Carol's birthday?,the gps from a fast food place?,the route home to avoid fast food?,our needs for fast food?,-0.060,0.881,-0.243,2.388,0.478,4.834,0.967,-0.360,23.178,0.565
test.enc.prompt.txt::00386,My career is,1.0,content_diversity,so great that i can never imagine switching,coming to it's peak,making me get close to celebrities,very nice that i usually have time for myself,continually going to an end,-0.020,0.968,-0.020,2.605,0.521,4.966,0.993,-0.255,21.755,0.640
test.enc.prompt.txt::00386,My career is,0.0,content_diversity,i really like meeting celebrities,i also like meeting new people,makes me feel like i am a celebrity,commands respect for me,work with people i never thought of,-0.043,0.939,-0.182,2.588,0.518,4.959,0.992,-0.347,19.641,0.655
test.enc.prompt.txt::00387,"Come on up,",1.0,content_diversity,I'm in the bedroom.,I am waiting for you.,you are the next person in line.,what would you like to order today?,I am excited to see you.,-0.042,0.936,-0.267,2.275,0.455,4.653,0.931,-0.272,23.393,0.650
test.enc.prompt.txt::00387,"Come on up,",0.0,content_diversity,I am on the bed waiting for you.,I am all alone.,the bed is warm and ready for you.,the door to my room is open.,I'm in the back bedroom.,-0.045,0.922,-0.365,2.720,0.544,4.920,0.984,-0.327,21.890,0.561
test.enc.prompt.txt::00388,A couple eggs,1.0,content_diversity,hatched yesterday on the farm.,would make the perfect size omelette.,will be needed for this cake.,were violently thrown at the house.,were colored by the kids for Easter.,-0.026,0.967,-0.224,2.151,0.430,4.990,0.998,-0.155,19.262,0.550
test.enc.prompt.txt::00388,A couple eggs,0.0,content_diversity,can be fun to play around with on holiday.,were scattered around the yard for the children.,"were colored red, white and blue.",could be seen by the youngsters.,turned into toys for the group of kids.,-0.025,0.956,-0.224,2.555,0.511,4.519,0.904,-0.355,24.612,0.572
test.enc.prompt.txt::00389,He's carrying a,1.0,content_diversity,bag with esoteric jewels hidden,"human body, unconscious and alive, but the dead weight is overwhelming",cat named Mew that he cherishes deeply,few trinkets modified to boost his attributes,key to the door of the final boss,-0.006,0.984,-0.124,2.307,0.461,4.553,0.911,-0.223,24.978,0.624
test.enc.prompt.txt::00389,He's carrying a,0.0,content_diversity,bag of enchanted stones out of plain view,bag of unusual trinkets unbeknownst to his peers,bag with high quality items in a secret compartment,bag with sacred jewels hidden,"bag with ideal jewels, stowed away",-0.055,0.936,-0.252,1.533,0.307,4.933,0.987,-0.587,24.007,0.649
test.enc.prompt.txt::00390,"Whenever your're ready,",1.0,content_diversity,Dude,I will follow,Just call me,and don't make any mistakes,fire it up,0.000,1.000,-0.108,2.299,0.460,4.949,0.990,-0.253,13.180,0.775
test.enc.prompt.txt::00390,"Whenever your're ready,",0.0,content_diversity,and let the party start,and speak the truth,and grill me some steaks,and then let's get outta here,and lets get moving,-0.051,0.950,-0.208,1.874,0.375,4.548,0.910,-0.169,16.177,0.622
test.enc.prompt.txt::00391,You folks need,1.0,content_diversity,to take a shower as soon as possible.,to eat!,to go travel around the world for a little bit.,to learn more about people from different backgrounds.,be more careful when you are driving.,-0.025,0.966,-0.153,2.456,0.491,4.896,0.979,-0.139,24.880,0.622
test.enc.prompt.txt::00391,You folks need,0.0,content_diversity,to clean up a little bit.,to freshen up.,to make sure you are tidy before going out.,focus on your hygiene for many reasons.,to clean yourselves before going on the bus.,-0.042,0.937,-0.321,2.523,0.505,4.938,0.988,-0.484,21.212,0.558
test.enc.prompt.txt::00392,"Say, isn't that",1.0,content_diversity,the guy from the bar?,"special, tell me something I didn't know!",the wrong way go about getting revenge?,the family next door going into the open house?,car going way too fast?,-0.025,0.964,-0.105,3.268,0.654,4.943,0.989,-0.102,24.432,0.596
test.enc.prompt.txt::00392,"Say, isn't that",0.0,content_diversity,something you've told me a million times.,information which is of no use to me at all.,interesting and absolutely worthless.,about the dumbest thing I've ever heard.,"nice, if it actually had any impact on me whatsoever.",-0.007,0.989,-0.124,3.243,0.649,4.914,0.983,-0.343,30.729,0.640
test.enc.prompt.txt::00393,"You're tired, Striker,",1.0,content_diversity,let someone else land the plane.,you don't make good decisions when you are exhausted like this.,go get some rest.,"no one will fault you if you quit, now.",do you think you can handle this without falling asleep?,-0.022,0.970,-0.164,2.855,0.571,4.984,0.997,-0.382,30.872,0.643
test.enc.prompt.txt::00393,"You're tired, Striker,",0.0,content_diversity,why don't you take a nap before you leave.,you should go lay down and try to sleep.,a good night's sleep would do you some good.,take the day off and rest up.,go home and go to bed.,-0.030,0.940,-0.241,3.508,0.702,4.908,0.982,-0.690,30.761,0.628
test.enc.prompt.txt::00394,No. I mean,1.0,content_diversity,that is all wrong!,you aren't understanding me.,something is wrong here.,I don't want to go with you.,everything is fine.,-0.020,0.973,-0.346,1.796,0.359,4.970,0.994,-0.388,17.685,0.570
test.enc.prompt.txt::00394,No. I mean,0.0,content_diversity,it's all good.,it all worked out for the best.,its great!,there are no more problems.,this is wonderful.,-0.004,0.990,-0.356,2.193,0.439,4.619,0.924,-0.644,14.640,0.542
test.enc.prompt.txt::00395,"Shep, sit...sit! So,",1.0,content_diversity,what were we talking about again?,let's get back to work everyone.,we can move on to something else now.,"there is nothing to see here, let's keep going.",did you see that fireball in the sky last night?,-0.016,0.974,-0.082,2.549,0.510,4.999,1.000,-0.240,32.300,0.659
test.enc.prompt.txt::00395,"Shep, sit...sit! So,",0.0,content_diversity,I saw a big bright light in the sky last night.,did you hear a huge boom outside?,I have no idea what that fireball was.,let me go ahead and report the fireball to the local news.,there is no explanation to that fireball yesterday.,-0.024,0.956,-0.261,2.632,0.526,4.951,0.990,-0.313,29.351,0.576
test.enc.prompt.txt::00396,...but after...awhile...you begin,1.0,content_diversity,to get tired of the whole thing,"to get used to it, and it gets easier and easier","to bleed, and you have to go to the hospital",to understand why she did the things she did,to know what your true life's passion is,-0.051,0.923,-0.219,2.152,0.430,4.999,1.000,-0.162,30.997,0.633
test.enc.prompt.txt::00396,...but after...awhile...you begin,0.0,content_diversity,to get weary of doing it over and over,to realize the whole thing is very tiring and dull,to get more and more sleepy and drained,to not want to do it anymore,to become tired of the drudgery,-0.051,0.924,-0.314,2.127,0.425,4.084,0.817,-0.684,28.063,0.702
test.enc.prompt.txt::00397,"Captain, how soon",1.0,content_diversity,do we shit out?,until we leave?,until we line up for formation?,until chow time?,is quitting time?,-0.044,0.933,-0.348,1.829,0.366,4.986,0.997,-0.407,11.635,0.485
test.enc.prompt.txt::00397,"Captain, how soon",0.0,content_diversity,can we be relived from duty?,can I stop thinking of taking this uniform off?,until you release your control of us?,until the end of the day?,do you want us to leave your presence?,-0.018,0.961,-0.264,2.243,0.449,4.855,0.971,-0.430,24.677,0.602
test.enc.prompt.txt::00398,"What is it,",1.0,content_diversity,is it alive?,can I eat it?,where did you get it?,maybe you should leave it.,it looks interesting.,-0.025,0.960,-0.315,2.603,0.521,5.000,1.000,-0.242,11.250,0.450
test.enc.prompt.txt::00398,"What is it,",0.0,content_diversity,I can't believe they would serve that at this restaurant.,It barely looks edible.,who would want to eat that?,it has an interesting color.,maybe we should ask the server if we can eat it.,-0.007,0.978,-0.249,2.728,0.546,4.616,0.923,-0.250,27.812,0.647
test.enc.prompt.txt::00399,I know things,1.0,content_diversity,that I'm not supposed to know.,that others don't.,that make life easier.,known by everybody else.,are not what they seem.,-0.018,0.973,-0.177,2.431,0.486,4.845,0.969,-0.330,18.538,0.598
test.enc.prompt.txt::00399,I know things,0.0,content_diversity,are different than they look.,aren't what you think.,to be different than what you believe.,are completely off kilter.,that aren't the way you think.,-0.048,0.910,-0.227,2.911,0.582,4.334,0.867,-0.638,18.258,0.522
test.enc.prompt.txt::00400,It's the truth.,1.0,content_diversity,I didn't know him before that day.,Mermaids are real.,I've never traveled out of this state.,I was adopted.,I used to be a man.,-0.012,0.985,-0.287,2.148,0.430,4.759,0.952,-0.208,18.829,0.538
test.enc.prompt.txt::00400,It's the truth.,0.0,content_diversity,I've never been to another state.,I've never been on vacation across state lines.,The furthest I have traveled has been in this state.,I don't leave the state for any reason.,I have only ever been to my home state.,-0.073,0.908,-0.402,2.318,0.464,4.946,0.989,-0.567,29.206,0.562
test.enc.prompt.txt::00401,Sluggish. Like a,1.0,content_diversity,snail leaving the world's slowest slime trail.,teenager that just woke up at noon after an all-nighter.,bottle of molasses pouring out in winter.,car with a clogged fuel pump.,stock market in a bear economy.,-0.006,0.989,-0.161,2.029,0.406,4.772,0.954,-0.088,31.381,0.697
test.enc.prompt.txt::00401,Sluggish. Like a,0.0,content_diversity,teen that just came out of daytime hibernation.,young adult who thought staying up all night and sleeping all day would work.,"typical youth, having fun all night and paying for it the next day.",teenage kid dragging themselves out of a bed they got into at dawn.,teen yet to learn that people aren't nocturnal or functional on four hours of sleep.,-0.025,0.954,-0.134,2.606,0.521,4.979,0.996,-0.416,46.532,0.655
test.enc.prompt.txt::00402,And get that,1.0,content_diversity,don't forget it,copy what was said boss,do you understand the statement,go do it,comprehend me,-0.012,0.978,-0.186,2.462,0.492,4.953,0.991,-0.392,15.218,0.761
test.enc.prompt.txt::00402,And get that,0.0,content_diversity,can you retell me what was said.,was the details that was stated clear enough for you.,do I need to simplify what I stated?,can you take all the facts into consideration before making a decision?,do I need to clarify what I'm asking from you?,-0.050,0.909,-0.221,2.292,0.458,4.905,0.981,-0.478,35.459,0.657
test.enc.prompt.txt::00403,He's all over,1.0,content_diversity,the road,his relationship with Amy,his diet,the place,working on his degree,-0.029,0.757,-0.201,2.252,0.450,4.996,0.999,-0.195,11.534,0.824
test.enc.prompt.txt::00403,He's all over,0.0,content_diversity,route 77,the berm,the exit,rest areas,the fast food restaurant,-0.024,0.767,-0.185,1.803,0.361,5.000,1.000,-0.152,9.236,0.770
test.enc.prompt.txt::00404,"I'm Lisa. Oh,",1.0,content_diversity,I didn't see HER standing there.,"no, I'm going to be late for work.",can you help me with this?,"if we're going to survive, do exactly as I say.",have we met before?,-0.010,0.975,-0.041,2.668,0.534,4.929,0.986,-0.214,29.715,0.632
test.enc.prompt.txt::00404,"I'm Lisa. Oh,",0.0,content_diversity,I think I've seen you here before.,have we already been introduced?,you look so familiar.,I feel like I must know you already.,do you recogonize me because I think I recognize you.,-0.045,0.934,-0.235,2.437,0.487,4.997,0.999,-0.513,26.714,0.652
test.enc.prompt.txt::00405,There's a little,1.0,content_diversity,bit left in the bottle.,man in the backyard.,bird outside.,snow on the ground.,food left in the fridge.,-0.072,0.880,-0.488,2.038,0.408,4.393,0.879,-0.117,13.050,0.522
test.enc.prompt.txt::00405,There's a little,0.0,content_diversity,white stuff out there.,snow out there.,bit of snow.,accumulation on the ground.,snow outside.,-0.043,0.732,-0.387,2.410,0.482,3.892,0.778,-0.544,11.893,0.566
test.enc.prompt.txt::00406,Fourteen-B. It's halfway,1.0,content_diversity,down the hallway on the executive floor,up the high rise building,across the busy highway,between here and the haunted house,to the beach if we run,-0.047,0.964,-0.256,2.236,0.447,4.684,0.937,-0.217,17.838,0.637
test.enc.prompt.txt::00406,Fourteen-B. It's halfway,0.0,content_diversity,at top speed to the water's edge,"assuming a quick pace, to the skinny dipping rendezvous",towards midnight swim with a cool sprint,"for our ocean meet up, running",moving quickly down to the seaside,-0.029,0.958,-0.222,2.356,0.471,4.990,0.998,-0.425,24.113,0.618
test.enc.prompt.txt::00407,"Excuse me, sir.",1.0,content_diversity,You said I was mad.,You wanted to have a good time with me.,You asked me what to do around here.,Please stop staring at me.,I have a weight issues.,-0.033,0.943,-0.337,2.279,0.456,4.851,0.970,-0.188,17.780,0.481
test.enc.prompt.txt::00407,"Excuse me, sir.",0.0,content_diversity,I am anorexic and need help.,I eat too much and cannot stop.,I am bulimic and I don't love it.,I always think I look fat when I look in the mirror.,My body makes me sad.,-0.046,0.935,-0.324,2.247,0.449,4.986,0.997,-0.338,29.762,0.661
test.enc.prompt.txt::00408,"Excuse me, sir.",1.0,content_diversity,you dropped your wallet.,you are in the way of a fire exit and the building is burning.,may I take you wife home with me?,Your top hat is blocking my view of the movie screen.,Tricks are for kids.,-0.016,0.966,-0.148,2.522,0.504,4.998,1.000,-0.045,26.159,0.569
test.enc.prompt.txt::00408,"Excuse me, sir.",0.0,content_diversity,the building is on fire and you are blocking the exit.,did you realize you were blocking a fire exit and the office is on fire?,nobody can escape the fire with you blocking the exit.,I'm sure you hear the fire alarm and yet you insist on blocking the exit.,"wake up, the office is on fire and your sleeping in front of the escape route.",-0.148,0.837,-0.419,3.046,0.609,4.912,0.982,-0.583,46.503,0.620
test.enc.prompt.txt::00409,"Well, I flew",1.0,content_diversity,all the way out here.,for the first time and it was scary.,down to Australia to meet her.,on a wide-body airplane for the first time.,three times this week.,-0.036,0.907,-0.123,2.606,0.521,4.659,0.932,-0.246,23.180,0.610
test.enc.prompt.txt::00409,"Well, I flew",0.0,content_diversity,for my first time and really didn't like it.,under duress and it was awful.,for the first time and really hated it.,and didn't like it at all.,and was really scared.,-0.103,0.836,-0.397,2.535,0.507,4.973,0.995,-0.644,27.699,0.660
test.enc.prompt.txt::00410,Oooh. Hardball. That,1.0,content_diversity,reminds me of my father.,is what Sr. Annunciata used to hit me with in grade school.,means I'll have to wear a cup.,is surprising coming from a girl.,hurts like a mother.,-0.018,0.971,-0.226,2.261,0.452,4.500,0.900,-0.133,27.408,0.653
test.enc.prompt.txt::00410,Oooh. Hardball. That,0.0,content_diversity,was Sr. Annunciata's disciplinary tool.,was my homeroom nun's favorite projectile.,was bounced off my head more than once in grade school.,was Sr. Annunciata's torture device in grade school.,was my first Catholic grade school lesson.,-0.088,0.877,-0.265,2.058,0.412,4.891,0.978,-0.261,31.592,0.632
test.enc.prompt.txt::00411,I like my,1.0,content_diversity,first meal of the day to have a lot of variety.,overgrown garden just the way it is.,family more when I don't see them that often.,bridesmaid dress but I hate the shoes.,my odds for finishing the race with a respectable time.,-0.018,0.973,-0.152,2.555,0.511,4.952,0.990,-0.085,33.282,0.653
test.enc.prompt.txt::00411,I like my,0.0,content_diversity,yard to have a lot of wild flowers.,gardening duties to be kept to a minimum and it definitely shows.,weekends to be free of weeding so I just let nature run its course.,untamed assortment of plants and blooms out back.,property to have an untended but colorful look.,-0.035,0.951,-0.187,2.246,0.449,4.554,0.911,-0.456,41.527,0.755
test.enc.prompt.txt::00412,So what've you,1.0,content_diversity,been doing lately?,got for me today?,finished in terms of your team's project?,heard about what happened between them?,written about last week's incident?,-0.004,0.992,-0.231,2.179,0.436,4.500,0.900,-0.335,18.669,0.549
test.enc.prompt.txt::00412,So what've you,0.0,content_diversity,picked up on by observing them together?,been told by your mutual friends? I bet they have some juicy gossip.,overheard them saying while you were cleaning their house?,been privy to about their situation?,listened to them say or do without them knowing about it?,-0.022,0.965,-0.135,2.509,0.418,4.884,0.977,-0.370,32.407,0.623
test.enc.prompt.txt::00413,"Move a finger,",1.0,content_diversity,shake a leg.,and I'll kill you.,but don't move your hand.,tell your sister to do the same.,and let's get this show on the road.,-0.010,0.978,-0.224,2.443,0.489,4.999,1.000,-0.134,22.125,0.582
test.enc.prompt.txt::00413,"Move a finger,",0.0,content_diversity,and you're done.,and it's over for you.,and you can say goodbye to tomorrow.,and I'll end you.,and sleep forever.,-0.061,0.945,-0.371,1.836,0.367,4.965,0.993,-0.561,17.640,0.535
test.enc.prompt.txt::00414,"That cop, the",1.0,content_diversity,one over there.,guy in the uniform.,one who was shot.,one who shot the criminal.,one I spoke to earlier.,-0.048,0.930,-0.288,2.530,0.506,4.405,0.881,-0.312,12.097,0.465
test.enc.prompt.txt::00414,"That cop, the",0.0,content_diversity,one who took my information.,one who knows what happened as I had told him.,female cop who interviewed me.,guy who I talked with.,one who I met with.,-0.075,0.916,-0.442,1.748,0.350,4.851,0.970,-0.424,15.340,0.438
test.enc.prompt.txt::00415,The guys at,1.0,content_diversity,the club thought I was funny,home are waiting for me,the river were signaling to us,at the gym were doing bench presses,work were all very tired,-0.020,0.972,-0.162,3.051,0.610,4.726,0.945,-0.071,16.178,0.558
test.enc.prompt.txt::00415,The guys at,0.0,content_diversity,my place of residence are awaiting my arrival,my house are still there waiting,my lodging are all in a state of anticipation for me to get there,my dwelling couldn't wait for me to get there,my abode were ready for me to get back,-0.120,0.833,-0.291,1.927,0.385,4.997,0.999,-0.589,32.697,0.681
test.enc.prompt.txt::00416,A large number,1.0,content_diversity,is overwhelming.,is helpful because there are so many choices.,of people is expensive to feed.,will not fit in the auditorium.,can make a large impact.,-0.014,0.985,-0.258,2.560,0.512,4.491,0.898,-0.396,18.018,0.563
test.enc.prompt.txt::00416,A large number,0.0,content_diversity,makes me anxious.,is unbearable to deal with.,effects my emotions.,renders me useless.,makes me feel like I cannot breathe.,-0.026,0.959,-0.421,1.976,0.395,4.988,0.998,-0.445,12.473,0.480
test.enc.prompt.txt::00417,She's going to,1.0,content_diversity,upset me all the way to the baseball game.,use comments that came from my mouth.,make an excuse not to see me this weekend.,throw a surprise bash party.,make me look like a pretty little boy.,-0.014,0.968,-0.183,2.663,0.533,4.991,0.998,-0.117,25.202,0.586
test.enc.prompt.txt::00417,She's going to,0.0,content_diversity,makes me cry when i see the faul ball.,take my innerds and make curry of them all.,teach my that crying is for kids.,why i should choose gum as i cry.,Why i don't go to a ball game.,-0.018,0.971,-0.180,2.462,0.492,4.265,0.853,-0.186,34.182,0.712
test.enc.prompt.txt::00418,"Well, let's roll,",1.0,content_diversity,we have nothing to lose.,I'm feeling lucky.,I want to get there early.,I have a lot to do today.,we have a long trip.,-0.040,0.927,-0.430,2.101,0.420,4.999,1.000,-0.299,17.046,0.517
test.enc.prompt.txt::00418,"Well, let's roll,",0.0,content_diversity,I don't want to be late.,It's important that we're early.,I want to get good seats.,We need time to grab food.,I like to have my choice of seats.,-0.038,0.947,-0.383,1.962,0.392,4.246,0.849,-0.418,26.229,0.624
test.enc.prompt.txt::00419,"Jesus, this is",1.0,content_diversity,way too difficult,the best cheesecake I've ever eaten,"Melinda, my friend from school",the key component that we've been looking for! We're finally able to solve the cryptograph,"who we're talking about, had sacrificed himself for our sins.",-0.004,0.990,0.044,2.618,0.436,4.975,0.995,-0.066,34.274,0.672
test.enc.prompt.txt::00419,"Jesus, this is",0.0,content_diversity,how we can solve the code!,the part needed to solve the code.,the answer to the code.,way easier to solve the cryptograph when we have the key to the code.,how we can decode the puzzle.,-0.140,0.830,-0.485,1.951,0.390,4.888,0.978,-0.640,27.648,0.643
test.enc.prompt.txt::00420,But there's no,1.0,content_diversity,decent restaurant anywhere near the movie theatre so we should just eat after.,real justice since he only got community service.,way we can drive in this blizzard.,room for everyone unless we book some more rooms.,one else who knows how to fix the bus and it's almost time to leave.,-0.008,0.985,-0.162,2.480,0.496,4.965,0.993,-0.182,35.668,0.605
test.enc.prompt.txt::00420,But there's no,0.0,content_diversity,visibility and the wipers can't keep up with the snow.,safe route to take if all the roads are closed due to the storm.,good reason to travel in bad weather.,chance we can make it there safely when the conditions are this bad.,one else on the road because it's too icy to drive.,-0.031,0.964,-0.262,3.457,0.691,4.958,0.992,-0.390,46.537,0.727
test.enc.prompt.txt::00421,How do I,1.0,content_diversity,tie this knot,understand these questions,make a chocolate cake,install this ceiling fan,find my way home,-0.006,0.789,-0.147,1.324,0.265,4.999,1.000,-0.155,11.030,0.613
test.enc.prompt.txt::00421,How do I,0.0,content_diversity,put this fan in the ceiling,anchor this ceiling fan,get this up there and make it stay,properly put up this fan,manuver this into the ceiling,-0.081,0.904,-0.249,1.999,0.400,4.994,0.999,-0.513,20.492,0.732
test.enc.prompt.txt::00422,"Yeah, right. Don't",1.0,content_diversity,take too long,eat too much of that,spend too much money,go to the party,stay up too late,-0.041,0.947,-0.251,1.769,0.354,4.954,0.991,-0.355,12.641,0.632
test.enc.prompt.txt::00422,"Yeah, right. Don't",0.0,content_diversity,buy a lot of things,spend money on unnecessary things,use a lot of money,be careless when using your money,be spending money on expensive things,-0.073,0.887,-0.282,2.208,0.442,4.818,0.964,-0.561,14.172,0.525
test.enc.prompt.txt::00423,"Oh, here's an",1.0,content_diversity,excuse I haven't heard before.,animal that needs our  help.,explanation I can understand.,app that does what you need.,idea we can use for our project,-0.015,0.970,-0.216,2.161,0.432,4.999,1.000,-0.274,19.190,0.582
test.enc.prompt.txt::00423,"Oh, here's an",0.0,content_diversity,answer to the problem with that animal.,animal shelter we can bring the dog to.,actual solution to help that animal.,event with staff we can ask quesstions of for our pet.,orthopedist that treats animal injuries.,-0.053,0.928,-0.231,2.305,0.461,4.958,0.992,-0.512,24.036,0.572
test.enc.prompt.txt::00424,You guys finished,1.0,content_diversity,so now it is time to clean up,1st and 2nd place,how are you feeling?,now it is time to go home and rest,it is about time,-0.076,0.814,-0.009,2.476,0.495,4.756,0.951,-0.217,19.748,0.658
test.enc.prompt.txt::00424,You guys finished,0.0,content_diversity,now we can go home and go to bed,we can go home and take a nap,it is time now for relaxation,it is time to take a siesta,now it is time to rest your bodies,-0.137,0.765,-0.428,2.684,0.537,4.960,0.992,-0.545,26.849,0.706
test.enc.prompt.txt::00425,Does that look,1.0,content_diversity,like a haunted house?,better on her?,like an antique?,safe?,like the outfit of an award winner?,-0.018,0.967,-0.380,2.137,0.427,4.991,0.998,-0.281,11.003,0.478
test.enc.prompt.txt::00425,Does that look,0.0,content_diversity,old?,like something that belongs in a museum?,like it has been around for generations?,something that was brand new in the Victorian Era?,a piece of furniture that belongs in a country estate?,-0.046,0.894,-0.256,2.965,0.593,4.060,0.812,-0.255,20.644,0.529
test.enc.prompt.txt::00426,"First squad up,",1.0,content_diversity,let's go over there.,we are ready for this.,we were born for this.,we need to get a move on quick..,this should be a lot of fun.,-0.033,0.950,-0.278,2.310,0.462,4.982,0.996,-0.480,21.649,0.585
test.enc.prompt.txt::00426,"First squad up,",0.0,content_diversity,this is going to be a festive time.,this will be enjoyable.,i am very happy about this.,we are excited about this.,I can't wait to make this happen.,-0.049,0.945,-0.359,2.383,0.477,4.973,0.995,-0.642,18.125,0.490
test.enc.prompt.txt::00427,Flame-units only. I,1.0,content_diversity,This is comparable to fire and sparks.,A blaze of heat surrounds an area.,A fire that smolders for days as firemen extinguish the flames.,The smoke rises from the residence and people evacuate.,The heat permeates the atmosphere and people stand in awe.,-0.027,0.954,-0.260,2.218,0.444,4.938,0.988,-0.381,34.192,0.698
test.enc.prompt.txt::00427,Flame-units only. I,0.0,content_diversity,Smoke extends into the atmosphere.,Crowds gather to watch the spectacle as firemen arrive.,People stand in awe and smoke escapes from the residence.,An ambulance arrives promptly at the scene.,People are dismayed as they hear sirens in the distance.,-0.032,0.966,-0.313,2.852,0.570,4.979,0.996,-0.296,26.992,0.587
test.enc.prompt.txt::00428,Could it be,1.0,content_diversity,I forgot to put it back.,That Someone did that on purpose.,Really acceptable.,Possible to do so?,She never liked him.,-0.004,0.991,-0.233,3.023,0.605,4.880,0.976,-0.186,15.079,0.558
test.enc.prompt.txt::00428,Could it be,0.0,content_diversity,I would have done better.,He stole the money.,The reason of there breakup?,The safe way out?,So easy.,-0.004,0.990,-0.226,3.287,0.657,4.909,0.982,-0.176,13.294,0.532
test.enc.prompt.txt::00429,That's it. See,1.0,content_diversity,I told you she would dump you.,Mom always buys us Christmas gifts.,you always try to start an argument.,I look so ugly in this dress.,"it's a racoon getting into the garbage, not the dog.",-0.011,0.973,-0.228,2.150,0.430,4.922,0.984,-0.147,27.841,0.619
